fuel_efficiency,location,make,price,vechile features,car make,type,model,year,odometer,body,transmission,Number of cylinders,capacity,fuel type
11,NSW,2015 Toyota Corolla Ascent Auto,"17,990","Odometer
33,000 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"33,000",Hatch,Automatic,4,1.8,Petrol
11,QLD,2013 Toyota Corolla Ascent Sport Auto,"19,990","Odometer
57,257 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2013,"57,257",Sedan,Automatic,4,1.8,Petrol
11,QLD,2012 Toyota Corolla Ascent Auto,"12,990","Odometer
149,470 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"149,470",Hatch,Automatic,4,1.8,Petrol
11,WA,2004 Toyota Corolla Ascent Auto,"5,670","Odometer
144,189 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2004,"144,189",Hatch,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Auto,"19,590","Odometer
15,794 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"15,794",Sedan,Automatic,4,1.8,Petrol
11,VIC,2013 Toyota Corolla Levin SX Auto,"19,990","Odometer
22,682 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Levin SX Auto,Corolla,2013,"22,682",Hatch,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Auto,"19,290","Odometer
12,194 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"12,194",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Ascent Sport Auto,"17,990","Odometer
75,457 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2014,"75,457",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
50,921 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"50,921",Hatch,Automatic,4,1.8,Petrol
11,WA,2009 Toyota Corolla Ascent Auto,"10,999","Odometer
56,858 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2009,"56,858",Sedan,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"16,490","Odometer
58,619 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"58,619",Sedan,Automatic,4,1.8,Petrol
11,VIC,2014 Toyota Corolla Ascent Sport Auto,"17,490","Odometer
48,532 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2014,"48,532",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,497","Odometer
64,196 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"64,196",Hatch,Automatic,4,1.8,Petrol
11,SA,2014 Toyota Corolla Ascent Auto,"16,988","Odometer
47,056 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"47,056",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
57,785 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"57,785",Sedan,Automatic,4,1.8,Petrol
11,NSW,2007 Toyota Corolla Ascent Manual,"7,490","Odometer
160,751 km


Body
Sedan


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Manual,Corolla,2007,"160,751",Sedan,Manual,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"12,888","Odometer
62,918 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"62,918",Hatch,Automatic,4,1.8,Petrol
11,WA,"2011 Toyota Corolla Ascent Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","12,999","Odometer
42,343 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Ascent Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2011,"42,343",Hatch,Automatic,4,1.8,Petrol
11,ACT,2013 Toyota Corolla Ascent Auto,"12,692","Odometer
92,393 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"92,393",Sedan,Automatic,4,1.8,Petrol
11,NSW,2001 Toyota Corolla Ascent Auto,"5,990","Odometer
152,231 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2001,"152,231",Sedan,Automatic,4,1.8,Petrol
11,WA,2012 Toyota Corolla Ascent Auto,"14,999","Odometer
35,309 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"35,309",Sedan,Automatic,4,1.8,Petrol
11,ACT,2015 Toyota Corolla Ascent Auto,"17,888","Odometer
47,048 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"47,048",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
62,761 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"62,761",Sedan,Automatic,4,1.8,Petrol
11,NSW,"2011 Toyota Corolla Ascent Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","9,990","Odometer
142,460 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Ascent Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2011,"142,460",Hatch,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Auto,"16,990","Odometer
37,398 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"37,398",Hatch,Automatic,4,1.8,Petrol
11,ACT,2012 Toyota Corolla Ascent Sport Auto,"12,629","Odometer
87,335 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2012,"87,335",Sedan,Automatic,4,1.8,Petrol
11,VIC,2012 Toyota Corolla Ascent Auto,"14,990","Odometer
74,945 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"74,945",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,487","Odometer
62,750 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"62,750",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
57,758 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"57,758",Sedan,Automatic,4,1.8,Petrol
11,WA,2007 Toyota Corolla Levin SX Auto,"11,913","Odometer
125,034 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Levin SX Auto,Corolla,2007,"125,034",Hatch,Automatic,4,1.8,Petrol
11,VIC,2005 Toyota Corolla Conquest Auto,"9,990","Odometer
77,134 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Conquest Auto,Corolla,2005,"77,134",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,485","Odometer
60,523 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"60,523",Hatch,Automatic,4,1.8,Petrol
11,SA,2007 Toyota Corolla Ascent Auto,"9,990","Odometer
148,234 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"148,234",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Ascent Auto,"13,990","Odometer
51,587 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"51,587",Hatch,Automatic,4,1.8,Petrol
11,NSW,"2011 Toyota Corolla Ascent Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","13,990","Odometer
100,954 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Ascent Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2011,"100,954",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,767","Odometer
60,415 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"60,415",Sedan,Automatic,4,1.8,Petrol
11,QLD,"2010 Toyota Corolla Levin SX Manual 
                        
                            MY10
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","9,990","Odometer
98,869 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Levin SX Manual 
                        
                            MY10
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2010,"98,869",Hatch,Manual,4,1.8,Petrol
11,NSW,2007 Toyota Corolla Ascent Auto,"8,990","Odometer
140,202 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"140,202",Sedan,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Sport Manual,"19,445","Odometer
20,955 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Manual,Corolla,2015,"20,955",Hatch,Manual,4,1.8,Petrol
11,SA,2008 Toyota Corolla Conquest Auto,"10,490","Odometer
114,031 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Conquest Auto,Corolla,2008,"114,031",Sedan,Automatic,4,1.8,Petrol
11,SA,2013 Toyota Corolla Ascent Sport Auto,"16,980","Odometer
36,026 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2013,"36,026",Hatch,Automatic,4,1.8,Petrol
11,NSW,2012 Toyota Corolla Ascent Auto,"14,990","Odometer
33,000 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"33,000",Hatch,Automatic,4,1.8,Petrol
11,WA,2013 Toyota Corolla Ascent Auto,"14,000","Odometer
54,962 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"54,962",Sedan,Automatic,4,1.8,Petrol
11,VIC,"2011 Toyota Corolla Ascent Manual 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","10,000","Odometer
168,122 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Ascent Manual 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2011,"168,122",Hatch,Manual,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"14,990","Odometer
51,953 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"51,953",Hatch,Automatic,4,1.8,Petrol
11,NSW,2007 Toyota Corolla Ascent Auto,"6,999","Odometer
166,919 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"166,919",Sedan,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Auto,"19,990","Odometer
9,777 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"9,777",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
50,699 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"50,699",Sedan,Automatic,4,1.8,Petrol
11,WA,"2011 Toyota Corolla Levin ZR Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","16,999","Odometer
26,564 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Levin ZR Auto 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2011,"26,564",Hatch,Automatic,4,1.8,Petrol
11,NSW,2013 Toyota Corolla Ascent Auto,"16,880","Odometer
70,000 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"70,000",Hatch,Automatic,4,1.8,Petrol
11,WA,2012 Toyota Corolla Ascent Auto,"12,955","Odometer
57,225 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"57,225",Sedan,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,497","Odometer
66,355 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"66,355",Hatch,Automatic,4,1.8,Petrol
11,NSW,2009 Toyota Corolla Ascent Auto,"12,990","Odometer
61,819 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2009,"61,819",Sedan,Automatic,4,1.8,Petrol
11,QLD,2014 Toyota Corolla SX Auto,"20,895","Odometer
38,814 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla SX Auto,Corolla,2014,"38,814",Sedan,Automatic,4,1.8,Petrol
11,WA,2005 Toyota Corolla Ascent Auto,"6,990","Odometer
151,000 km


Body
Wagon


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2005,"151,000",Wagon,Automatic,4,1.8,Petrol
11,SA,2014 Toyota Corolla Ascent Auto,"16,988","Odometer
49,953 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"49,953",Hatch,Automatic,4,1.8,Petrol
11,WA,2009 Toyota Corolla Ascent Auto,"11,500","Odometer
54,365 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2009,"54,365",Sedan,Automatic,4,1.8,Petrol
11,NSW,"2011 Toyota Corolla Ascent Sport Manual 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.","11,990","Odometer
82,855 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,"Corolla Ascent Sport Manual 
                        
                            MY11
                        

Manufacturer Marketing Year (MY)

                            The manufacturer's marketing year of this model.",Corolla,2011,"82,855",Hatch,Manual,4,1.8,Petrol
11,NSW,2007 Toyota Corolla Ascent Auto,"6,990","Odometer
200,563 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"200,563",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
51,516 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"51,516",Sedan,Automatic,4,1.8,Petrol
11,ACT,2013 Toyota Corolla Ascent Auto,"15,700","Odometer
71,632 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"71,632",Hatch,Automatic,4,1.8,Petrol
11,VIC,2009 Toyota Corolla Ascent Auto,"9,999","Odometer
89,556 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2009,"89,556",Hatch,Automatic,4,1.8,Petrol
11,SA,2013 Toyota Corolla Ascent Sport Auto,"17,490","Odometer
51,355 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2013,"51,355",Hatch,Automatic,4,1.8,Petrol
11,WA,2013 Toyota Corolla Ascent Auto,"15,999","Odometer
47,929 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"47,929",Hatch,Automatic,4,1.8,Petrol
11,NSW,2015 Toyota Corolla Levin ZR Auto,"27,990","Odometer
16,508 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Levin ZR Auto,Corolla,2015,"16,508",Hatch,Automatic,4,1.8,Petrol
11,WA,2012 Toyota Corolla Ascent Auto,"13,000","Odometer
73,924 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"73,924",Hatch,Automatic,4,1.8,Petrol
11,QLD,2014 Toyota Corolla Ascent Sport Auto,"16,500","Odometer
40,871 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2014,"40,871",Hatch,Automatic,4,1.8,Petrol
11,WA,2013 Toyota Corolla Ascent Auto,"14,999","Odometer
43,930 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"43,930",Hatch,Automatic,4,1.8,Petrol
11,NSW,2013 Toyota Corolla Ascent Sport Auto,"18,990","Odometer
36,095 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2013,"36,095",Hatch,Automatic,4,1.8,Petrol
11,NSW,2006 Toyota Corolla Ascent Auto,"9,990","Odometer
107,123 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2006,"107,123",Sedan,Automatic,4,1.8,Petrol
11,WA,2007 Toyota Corolla Ascent Auto,"8,999","Odometer
125,135 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"125,135",Sedan,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
56,871 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"56,871",Sedan,Automatic,4,1.8,Petrol
11,SA,2013 Toyota Corolla Ascent Sport Auto,"16,990","Odometer
58,867 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2013,"58,867",Hatch,Automatic,4,1.8,Petrol
11,WA,2015 Toyota Corolla Ascent Auto,"15,914","Odometer
42,337 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"42,337",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,497","Odometer
66,348 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"66,348",Hatch,Automatic,4,1.8,Petrol
11,VIC,2008 Toyota Corolla Levin ZR Manual,"10,950","Odometer
115,178 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Levin ZR Manual,Corolla,2008,"115,178",Hatch,Manual,4,1.8,Petrol
